iter	Passed	Remaining
0	12	12319
1	16	8038
2	19	6500
3	23	5825
4	26	5366
5	31	5140
6	34	4886
7	38	4733
8	41	4583
9	44	4436
10	47	4312
11	51	4202
12	54	4106
13	57	4023
14	60	3970
15	63	3915
16	66	3866
17	70	3822
18	73	3783
19	76	3746
20	79	3715
21	82	3685
22	86	3659
23	89	3636
24	92	3621
25	96	3599
26	99	3574
27	102	3552
28	105	3542
29	109	3534
30	112	3519
31	115	3498
32	118	3478
33	121	3459
34	125	3447
35	129	3456
36	133	3469
37	136	3466
38	141	3481
39	144	3477
40	148	3462
41	151	3448
42	154	3435
43	157	3424
44	161	3419
45	164	3408
46	167	3399
47	170	3391
48	174	3380
49	177	3374
50	180	3367
51	184	3356
52	187	3347
53	190	3340
54	193	3329
55	197	3320
56	200	3312
57	203	3308
58	206	3300
59	210	3293
60	213	3284
61	216	3276
62	219	3270
63	223	3262
64	226	3253
65	229	3247
66	232	3239
67	235	3231
68	239	3225
69	242	3220
70	245	3213
71	248	3207
72	251	3198
73	255	3191
74	258	3186
75	261	3179
76	264	3172
77	267	3164
78	270	3157
79	274	3154
80	277	3148
81	280	3141
82	283	3135
83	287	3133
84	290	3126
85	293	3122
86	297	3117
87	300	3111
88	303	3105
89	306	3099
90	309	3091
91	312	3085
92	315	3080
93	318	3073
94	322	3068
95	325	3061
96	328	3054
97	331	3049
98	334	3045
99	337	3038
100	340	3032
101	343	3027
102	347	3023
103	350	3022
104	353	3017
105	357	3012
106	360	3010
107	363	3005
108	367	3000
109	370	2999
110	373	2994
111	377	2992
112	380	2986
113	383	2982
114	387	2979
115	390	2975
116	393	2971
117	396	2965
118	400	2963
119	403	2958
120	406	2953
121	409	2948
122	413	2944
123	416	2944
124	419	2939
125	423	2940
126	428	2945
127	432	2944
128	435	2941
129	440	2945
130	443	2940
131	446	2937
132	450	2934
133	454	2937
134	457	2934
135	461	2930
136	465	2930
137	469	2931
138	473	2930
139	476	2926
140	480	2925
141	484	2925
142	489	2932
143	493	2932
144	496	2928
145	499	2924
146	504	2925
147	506	2916
148	510	2914
149	513	2909
150	518	2914
151	521	2909
152	525	2908
153	528	2903
154	533	2908
155	536	2903
156	540	2900
157	543	2894
158	546	2891
159	550	2890
160	554	2887
161	557	2882
162	560	2877
163	563	2872
164	566	2868
165	570	2865
166	573	2861
167	576	2857
168	580	2852
169	583	2847
170	586	2843
171	589	2839
172	592	2834
173	596	2830
174	599	2825
175	602	2821
176	605	2816
177	608	2812
178	612	2807
179	615	2801
180	618	2797
181	621	2793
182	624	2788
183	627	2783
184	630	2778
185	633	2774
186	636	2769
187	639	2764
188	643	2760
189	646	2756
190	649	2752
191	652	2748
192	656	2743
193	659	2739
194	662	2734
195	665	2730
196	668	2726
197	671	2721
198	675	2717
199	678	2713
200	681	2708
201	684	2704
202	687	2700
203	690	2695
204	694	2692
205	697	2688
206	700	2685
207	704	2681
208	707	2677
209	710	2674
210	715	2674
211	720	2677
212	724	2676
213	727	2672
214	730	2668
215	734	2665
216	737	2661
217	741	2659
218	747	2666
219	750	2662
220	754	2658
221	757	2655
222	764	2664
223	769	2665
224	776	2675
225	783	2684
226	787	2681
227	794	2690
228	797	2685
229	801	2682
230	805	2680
231	811	2687
232	814	2682
233	818	2680
234	826	2690
235	829	2686
236	833	2684
237	836	2676
238	843	2686
239	846	2681
240	849	2676
241	854	2677
242	862	2687
243	866	2683
244	870	2682
245	875	2683
246	878	2678
247	882	2674
248	885	2670
249	888	2665
250	892	2663
251	895	2659
252	899	2654
253	902	2650
254	905	2645
255	909	2643
256	912	2639
257	916	2635
258	919	2630
259	923	2627
260	926	2623
261	929	2619
262	933	2614
263	936	2610
264	940	2608
265	943	2604
266	946	2599
267	949	2594
268	953	2590
269	961	2598
270	964	2595
271	967	2590
272	972	2588
273	975	2583
274	978	2579
275	981	2574
276	984	2570
277	988	2567
278	991	2563
279	994	2558
280	998	2554
281	1001	2549
282	1005	2547
283	1008	2542
284	1011	2538
285	1014	2533
286	1018	2529
287	1022	2526
288	1025	2522
289	1028	2517
290	1031	2513
291	1034	2508
292	1038	2506
293	1041	2501
294	1045	2497
295	1048	2493
296	1051	2488
297	1055	2486
298	1058	2481
299	1061	2477
300	1064	2472
301	1067	2468
302	1071	2465
303	1075	2461
304	1078	2456
305	1081	2451
306	1084	2447
307	1087	2444
308	1091	2440
309	1094	2436
310	1097	2431
311	1101	2427
312	1104	2424
313	1107	2420
314	1110	2415
315	1114	2411
316	1119	2412
317	1122	2408
318	1129	2410
319	1132	2406
320	1136	2403
321	1140	2400
322	1143	2396
323	1146	2391
324	1149	2387
325	1153	2384
326	1156	2380
327	1159	2375
328	1162	2371
329	1166	2369
330	1170	2365
331	1174	2362
332	1177	2358
333	1181	2355
334	1185	2354
335	1189	2350
336	1193	2347
337	1197	2345
338	1201	2343
339	1205	2339
340	1208	2336
341	1212	2332
342	1216	2330
343	1220	2327
344	1224	2324
345	1227	2321
346	1232	2319
347	1236	2316
348	1239	2312
349	1243	2308
350	1246	2304
351	1249	2301
352	1253	2296
353	1256	2292
354	1259	2288
355	1262	2284
356	1266	2280
357	1269	2276
358	1272	2272
359	1275	2268
360	1279	2264
361	1283	2261
362	1286	2256
363	1289	2252
364	1292	2248
365	1296	2245
366	1299	2241
367	1302	2236
368	1305	2232
369	1308	2228
370	1312	2224
371	1315	2221
372	1318	2216
373	1322	2213
374	1325	2209
375	1329	2206
376	1333	2204
377	1336	2199
378	1340	2196
379	1343	2192
380	1349	2192
381	1352	2188
382	1355	2184
383	1359	2180
384	1363	2177
385	1366	2173
386	1369	2169
387	1373	2165
388	1376	2162
389	1380	2158
390	1383	2154
391	1386	2150
392	1389	2146
393	1392	2142
394	1396	2138
395	1399	2134
396	1402	2130
397	1406	2126
398	1409	2123
399	1412	2118
400	1415	2114
401	1419	2111
402	1422	2106
403	1425	2103
404	1428	2099
405	1432	2095
406	1435	2091
407	1438	2087
408	1442	2084
409	1445	2080
410	1450	2078
411	1453	2074
412	1457	2071
413	1462	2069
414	1466	2067
415	1469	2062
416	1473	2059
417	1477	2056
418	1480	2053
419	1483	2049
420	1487	2046
421	1491	2043
422	1495	2040
423	1499	2036
424	1502	2033
425	1505	2029
426	1510	2027
427	1513	2022
428	1517	2019
429	1520	2016
430	1525	2013
431	1528	2009
432	1532	2006
433	1535	2002
434	1539	1999
435	1543	1996
436	1546	1992
437	1550	1989
438	1553	1985
439	1558	1984
440	1562	1980
441	1565	1976
442	1569	1972
443	1575	1973
444	1580	1971
445	1584	1967
446	1589	1966
447	1592	1962
448	1596	1958
449	1599	1954
450	1603	1951
451	1607	1949
452	1613	1947
453	1618	1946
454	1622	1943
455	1626	1940
456	1629	1936
457	1633	1933
458	1636	1929
459	1640	1926
460	1644	1922
461	1647	1918
462	1650	1914
463	1653	1910
464	1657	1906
465	1660	1902
466	1663	1898
467	1666	1894
468	1670	1890
469	1673	1886
470	1676	1883
471	1679	1878
472	1682	1874
473	1688	1873
474	1691	1869
475	1694	1865
476	1697	1861
477	1701	1857
478	1704	1853
479	1707	1849
480	1710	1845
481	1713	1841
482	1716	1837
483	1719	1833
484	1723	1829
485	1726	1825
486	1729	1821
487	1732	1817
488	1735	1813
489	1738	1809
490	1742	1805
491	1745	1801
492	1748	1798
493	1751	1794
494	1754	1790
495	1758	1786
496	1761	1782
497	1764	1778
498	1767	1774
499	1770	1770
500	1773	1766
501	1776	1762
502	1780	1758
503	1783	1754
504	1786	1750
505	1789	1746
506	1792	1743
507	1795	1739
508	1798	1735
509	1802	1731
510	1805	1727
511	1808	1723
512	1811	1719
513	1814	1715
514	1818	1712
515	1821	1708
516	1824	1704
517	1827	1700
518	1830	1696
519	1833	1692
520	1837	1689
521	1840	1685
522	1844	1681
523	1847	1678
524	1850	1674
525	1853	1670
526	1860	1670
527	1877	1678
528	1884	1678
529	1892	1678
530	1899	1677
531	1915	1684
532	1922	1684
533	1929	1683
534	1936	1682
535	1943	1682
536	1948	1680
537	1953	1677
538	1958	1674
539	1962	1671
540	1967	1669
541	1971	1665
542	1976	1663
543	1980	1659
544	1983	1656
545	1987	1652
546	1990	1648
547	1993	1644
548	1997	1641
549	2001	1637
550	2004	1633
551	2007	1629
552	2013	1627
553	2016	1623
554	2020	1619
555	2023	1615
556	2028	1613
557	2031	1609
558	2035	1605
559	2038	1601
560	2042	1598
561	2046	1594
562	2050	1591
563	2053	1587
564	2056	1583
565	2060	1580
566	2064	1576
567	2068	1572
568	2071	1569
569	2075	1565
570	2079	1562
571	2082	1558
572	2085	1554
573	2089	1550
574	2093	1547
575	2097	1544
576	2104	1542
577	2108	1539
578	2112	1535
579	2115	1531
580	2119	1528
581	2122	1524
582	2126	1521
583	2130	1517
584	2134	1513
585	2137	1509
586	2141	1506
587	2144	1502
588	2148	1499
589	2151	1495
590	2156	1492
591	2159	1488
592	2162	1484
593	2168	1482
594	2174	1480
595	2177	1476
596	2181	1472
597	2184	1468
598	2189	1465
599	2192	1461
600	2196	1458
601	2201	1455
602	2207	1453
603	2211	1449
604	2214	1445
605	2220	1443
606	2224	1439
607	2227	1436
608	2231	1432
609	2235	1429
610	2239	1425
611	2243	1422
612	2246	1418
613	2250	1414
614	2254	1411
615	2258	1407
616	2261	1403
617	2265	1400
618	2268	1396
619	2273	1393
620	2276	1389
621	2280	1385
622	2283	1381
623	2288	1378
624	2291	1375
625	2295	1371
626	2298	1367
627	2302	1364
628	2306	1360
629	2310	1356
630	2313	1353
631	2317	1349
632	2321	1345
633	2324	1342
634	2328	1338
635	2331	1334
636	2335	1331
637	2338	1327
638	2343	1323
639	2346	1319
640	2349	1316
641	2353	1312
642	2356	1308
643	2359	1304
644	2362	1300
645	2365	1296
646	2369	1292
647	2372	1288
648	2375	1284
649	2378	1280
650	2382	1277
651	2385	1273
652	2388	1269
653	2391	1265
654	2394	1261
655	2398	1257
656	2401	1253
657	2404	1249
658	2407	1245
659	2411	1242
660	2414	1238
661	2417	1234
662	2420	1230
663	2423	1226
664	2427	1222
665	2430	1218
666	2433	1214
667	2436	1211
668	2439	1207
669	2442	1203
670	2446	1199
671	2449	1195
672	2452	1191
673	2455	1187
674	2459	1184
675	2462	1180
676	2465	1176
677	2469	1172
678	2472	1169
679	2476	1165
680	2479	1161
681	2482	1157
682	2485	1153
683	2489	1150
684	2492	1146
685	2495	1142
686	2498	1138
687	2502	1134
688	2505	1130
689	2508	1127
690	2512	1123
691	2515	1119
692	2519	1115
693	2522	1112
694	2525	1108
695	2528	1104
696	2532	1100
697	2535	1097
698	2538	1093
699	2542	1089
700	2545	1085
701	2548	1081
702	2551	1078
703	2554	1074
704	2558	1070
705	2561	1066
706	2564	1062
707	2567	1059
708	2571	1055
709	2574	1051
710	2577	1047
711	2581	1044
712	2584	1040
713	2587	1036
714	2590	1032
715	2594	1028
716	2597	1025
717	2600	1021
718	2603	1017
719	2606	1013
720	2610	1009
721	2613	1006
722	2616	1002
723	2619	998
724	2622	994
725	2626	991
726	2629	987
727	2632	983
728	2636	979
729	2639	976
730	2642	972
731	2645	968
732	2649	964
733	2652	961
734	2655	957
735	2660	954
736	2663	950
737	2666	946
738	2670	942
739	2673	939
740	2676	935
741	2679	931
742	2682	927
743	2685	924
744	2689	920
745	2692	916
746	2696	913
747	2699	909
748	2702	905
749	2705	901
750	2709	898
751	2712	894
752	2716	891
753	2721	887
754	2725	884
755	2730	881
756	2733	877
757	2738	874
758	2741	870
759	2744	866
760	2747	862
761	2751	859
762	2754	855
763	2757	851
764	2760	848
765	2764	844
766	2767	840
767	2770	837
768	2774	833
769	2777	829
770	2780	825
771	2784	822
772	2787	818
773	2790	814
774	2793	811
775	2797	807
776	2800	803
777	2803	799
778	2806	796
779	2810	792
780	2813	788
781	2816	785
782	2820	781
783	2823	777
784	2826	774
785	2829	770
786	2833	766
787	2836	763
788	2839	759
789	2842	755
790	2845	751
791	2849	748
792	2852	744
793	2855	740
794	2858	737
795	2861	733
796	2865	729
797	2868	726
798	2871	722
799	2874	718
800	2877	714
801	2880	711
802	2883	707
803	2887	703
804	2890	700
805	2893	696
806	2896	692
807	2900	689
808	2903	685
809	2906	681
810	2909	678
811	2912	674
812	2916	670
813	2919	667
814	2922	663
815	2925	659
816	2928	656
817	2931	652
818	2935	648
819	2938	645
820	2941	641
821	2944	637
822	2948	634
823	2951	630
824	2954	626
825	2958	623
826	2961	619
827	2964	615
828	2967	612
829	2970	608
830	2973	604
831	2976	601
832	2980	597
833	2983	593
834	2986	590
835	2989	586
836	2993	582
837	2996	579
838	2999	575
839	3002	571
840	3006	568
841	3009	564
842	3012	561
843	3016	557
844	3019	553
845	3022	550
846	3025	546
847	3029	542
848	3032	539
849	3035	535
850	3038	532
851	3042	528
852	3046	525
853	3049	521
854	3052	517
855	3056	514
